EntropicMoment - momento q=0.500
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
6  | 0 | 0.500 | 1.24483e+01    | 3.15776e-10       | position
7  | 0 | 0.500 | 9.97123e+00    | 3.32097e-10       | position
8  | 0 | 0.500 | 8.62149e+00    | 1.07967e-10       | position
9  | 0 | 0.500 | 7.43437e+00    | 1.83833e-10       | position
10 | 0 | 0.500 | 6.44458e+00    | 4.79760e-10       | position
11 | 0 | 0.500 | 1.86808e+01    | 7.82989e-10       | position
12 | 0 | 0.500 | 1.66804e+01    | 2.34214e-09       | position
13 | 0 | 0.500 | 1.69449e+01    | 2.33634e-09       | position
14 | 0 | 0.500 | 1.45755e+01    | 1.32930e-09       | position
15 | 0 | 0.500 | 1.25852e+01    | 8.72524e-10       | position
16 | 0 | 0.500 | 1.14582e+01    | 9.31338e-10       | position
17 | 0 | 0.500 | 1.03074e+01    | 6.79220e-10       | position
18 | 0 | 0.500 | 9.26481e+00    | 5.80351e-10       | position
19 | 0 | 0.500 | 2.07749e+01    | 3.09092e-09       | position
20 | 0 | 0.500 | 1.95161e+01    | 1.45783e-09       | position
21 | 0 | 0.500 | 1.79140e+01    | 1.94241e-09       | position
22 | 0 | 0.500 | 1.66494e+01    | 1.41572e-09       | position
23 | 0 | 0.500 | 1.55640e+01    | 1.51245e-09       | position
24 | 0 | 0.500 | 1.31796e+01    | 1.57906e-09       | position
25 | 0 | 0.500 | 1.37908e+01    | 2.00745e-09       | position
26 | 0 | 0.500 | 1.29892e+01    | 1.60285e-09       | position
27 | 0 | 0.500 | 1.22889e+01    | 1.03756e-09       | position
28 | 0 | 0.500 | 1.16595e+01    | 6.41191e-10       | position
29 | 0 | 0.500 | 1.06565e+01    | 7.57785e-10       | position
30 | 0 | 0.500 | 1.05806e+01    | 2.66163e-10       | position
31 | 0 | 0.500 | 1.20059e+01    | 3.01291e-10       | position
32 | 0 | 0.500 | 1.10790e+01    | 1.31661e-09       | position
33 | 0 | 0.500 | 1.01361e+01    | 7.82314e-10       | position
34 | 0 | 0.500 | 9.68931e+00    | 8.27135e-10       | position
35 | 0 | 0.500 | 9.11465e+00    | 8.06943e-10       | position
36 | 0 | 0.500 | 8.52969e+00    | 3.22178e-10       | position
37 | 0 | 0.500 | 1.74942e+01    | 1.55477e-09       | position
38 | 0 | 0.500 | 1.69612e+01    | 4.96188e-10       | position
39 | 0 | 0.500 | 1.57900e+01    | 1.64617e-09       | position
40 | 0 | 0.500 | 1.48764e+01    | 1.52728e-09       | position
41 | 0 | 0.500 | 1.26544e+01    | 1.26845e-09       | position
42 | 0 | 0.500 | 1.19569e+01    | 6.22148e-10       | position
43 | 0 | 0.500 | 1.28712e+01    | 1.04897e-09       | position
44 | 0 | 0.500 | 1.12786e+01    | 9.23453e-10       | position
45 | 0 | 0.500 | 1.09892e+01    | 1.27986e-09       | position
46 | 0 | 0.500 | 7.91882e+00    | 1.02602e-09       | position
47 | 0 | 0.500 | 1.04722e+01    | 1.00529e-09       | position
48 | 0 | 0.500 | 1.05755e+01    | 8.53504e-10       | position
49 | 0 | 0.500 | 1.17666e+01    | 1.58877e-10       | position
50 | 0 | 0.500 | 1.11515e+01    | 6.01261e-10       | position


EntropicMoment - posicion q=0.750
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
-----------------------------------------------
1  | 0 | 0.750 | 3.15576e+00    | 3.40282e-10       | position
2  | 0 | 0.750 | 2.23060e+00    | 6.07786e-11       | position
3  | 0 | 0.750 | 3.70220e+00    | 3.36077e-10       | position
4  | 0 | 0.750 | 3.36726e+00    | 1.76203e-11       | position
5  | 0 | 0.750 | 3.06177e+00    | 7.18210e-11       | position
6  | 0 | 0.750 | 2.74954e+00    | 1.51912e-10       | position
7  | 0 | 0.750 | 2.49077e+00    | 2.51928e-10       | position
8  | 0 | 0.750 | 2.31485e+00    | 9.99027e-11       | position
9  | 0 | 0.750 | 2.15317e+00    | 3.69615e-11       | position
10 | 0 | 0.750 | 2.00943e+00    | 5.10723e-11       | position
11 | 0 | 0.750 | 2.61172e+00    | 2.44497e-10       | position
12 | 0 | 0.750 | 2.64861e+00    | 2.87432e-10       | position
13 | 0 | 0.750 | 2.70166e+00    | 3.33702e-10       | position
14 | 0 | 0.750 | 2.62189e+00    | 2.55063e-11       | position
15 | 0 | 0.750 | 2.52071e+00    | 1.48307e-10       | position
16 | 0 | 0.750 | 2.44506e+00    | 1.01431e-10       | position
17 | 0 | 0.750 | 2.35827e+00    | 1.23686e-10       | position
18 | 0 | 0.750 | 2.27023e+00    | 2.94826e-10       | position
19 | 0 | 0.750 | 2.70690e+00    | 9.12023e-11       | position
20 | 0 | 0.750 | 2.76338e+00    | 9.83316e-11       | position
21 | 0 | 0.750 | 2.67902e+00    | 2.60904e-10       | position
22 | 0 | 0.750 | 2.59438e+00    | 2.19689e-10       | position
23 | 0 | 0.750 | 2.51424e+00    | 2.22356e-10       | position
24 | 0 | 0.750 | 2.31868e+00    | 7.47213e-11       | position
25 | 0 | 0.750 | 2.36729e+00    | 2.90040e-10       | position
26 | 0 | 0.750 | 2.30200e+00    | 1.16440e-10       | position
