Z;Q;N;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
15;1;14;1S;-340,349775833;0,3879;3;1;2;1;6;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[36.179826, 22.490304, 12.983974, 8.202715, 6.407117, 5.290358, 3.328350, 2.631487, 1.329479, 1.199982];[-0.000307410963, 0.005786919517, -0.008675847720, 1.078065261461, 1.088631625365, 0.307249786294, 0.229702860221, 0.002634916116, 0.003023405190, -0.000172444078]
15;1;14;1S;-340,349775833;0,3879;3;1;3;1;2;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[36.179826, 22.490304, 12.983974, 8.202715, 6.407117, 5.290358, 3.328350, 2.631487, 1.329479, 1.199982];[0.000047234733, -0.000782060100, -0.000306177236, -0.145908938713, -0.105018933456, -0.020021587088, -0.366101990375, 0.020490823148, 1.489340546604, 0.110381065599]
16;1;15;2P;-397,173182672;0,3809;3;1;1;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[41.218079, 22.586498, 19.711791, 13.683736, 7.190680, 5.486663, 5.004489, 2.655271, 1.888789, 1.312850];[0.000665670324, -0.483525698094, -0.259010809786, -0.713334129187, -0.000586050100, 0.002434002962, -0.004376283869, 0.000061801133, 0.000080327330, -0.000174089690]
16;1;15;2P;-397,173182672;0,3809;3;1;2;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[41.218079, 22.586498, 19.711791, 13.683736, 7.190680, 5.486663, 5.004489, 2.655271, 1.888789, 1.312850];[0.000335451457, 0.103804548270, 0.083341019444, -0.700647785004, 0.166604539985, -0.467061140958, 1.823494321234, 0.002214517017, -0.000726905771, 0.002324542832]
16;1;15;2P;-397,173182672;0,3809;3;1;3;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[41.218079, 22.586498, 19.711791, 13.683736, 7.190680, 5.486663, 5.004489, 2.655271, 1.888789, 1.312850];[-0.000107904495, -0.034632675929, -0.027767941876, 0.200667005006, -0.313445869700, -0.310852909134, -0.255269083542, 0.522577225720, 0.612760634643, 0.589352147494]
16;1;15;2P;-397,173182672;0,3809;3;1;2;1;6;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[38.722620, 23.967182, 13.185059, 8.930078, 7.068496, 5.911151, 3.720582, 2.375635, 1.457182, 1.312850];[0.000293203922, -0.005512331717, 0.009024165161, -1.060472536231, -1.074202906035, -0.298166343481, -0.261276048159, -0.000623150191, -0.002322361225, 0.000323087697]
16;1;15;2P;-397,173182672;0,3809;3;1;3;1;3;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[38.722620, 23.967182, 13.185059, 8.930078, 7.068496, 5.911151, 3.720582, 2.375635, 1.457182, 1.312850];[0.000047458192, -0.000838659001, -0.001835454241, -0.200630200039, -0.183643111744, -0.079646451130, -0.304873677892, 0.181541787704, 1.681788425184, 0.089628779549]
17;1;16;1S;-459,048590564;0,4783;3;1;1;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[44.031394, 23.995962, 20.988580, 14.596904, 7.765414, 6.066785, 5.496206, 3.020085, 2.105889, 1.370245];[-0.000622961074, 0.477868985266, 0.253866607952, 0.723375328323, -0.001510804349, -0.004292703847, 0.007863875935, -0.000045820519, -0.000057134228, 0.000083721443]
17;1;16;1S;-459,048590564;0,4783;3;1;2;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[44.031394, 23.995962, 20.988580, 14.596904, 7.765414, 6.066785, 5.496206, 3.020085, 2.105889, 1.370245];[0.000323713484, 0.106749223750, 0.083243580130, -0.710312379068, -0.001735098620, -0.587429806999, 2.101673664487, 0.003297097499, 0.000270680476, 0.000613203001]
17;1;16;1S;-459,048590564;0,4783;3;1;3;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[44.031394, 23.995962, 20.988580, 14.596904, 7.765414, 6.066785, 5.496206, 3.020085, 2.105889, 1.370245];[-0.000104227540, -0.040522309731, -0.031404167787, 0.223445742855, -0.286258886756, -0.302029347875, -0.263524272370, 0.559255702988, 0.666841716903, 0.474264862002]
17;1;16;1S;-459,048590564;0,4783;3;1;2;1;6;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[40.716974, 27.023335, 15.098366, 9.729816, 7.683095, 6.407885, 4.024439, 2.879577, 1.576178, 1.370245];[-0.000358850247, 0.004152375012, -0.003550045484, 1.041364066747, 1.122471571110, 0.299548590543, 0.223122795925, 0.001063568446, 0.004012754097, -0.000110961885]
17;1;16;1S;-459,048590564;0,4783;3;1;3;1;4;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[40.716974, 27.023335, 15.098366, 9.729816, 7.683095, 6.407885, 4.024439, 2.879577, 1.576178, 1.370245];[0.000076400000, -0.000760800000, -0.002638200000, -0.248221600000, -0.278978000000, -0.135779800000, -0.235034200000, 0.265506400000, 1.877938000000, 0.113445000000]
18;1;17;2S;-526,274534168;0,5794;3;1;1;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[46.331015, 25.548587, 22.367307, 15.534609, 8.247562, 6.654266, 6.002988, 3.324836, 2.287129, 1.445917];[-0.000609384624, 0.461506958613, 0.246772629881, 0.746018301670, -0.007468037559, -0.009802762729, 0.018349562393, -0.000076508954, -0.000033516861, 0.000041436457]
18;1;17;2S;-526,274534168;0,5794;3;1;2;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[46.331015, 25.548587, 22.367307, 15.534609, 8.247562, 6.654266, 6.002988, 3.324836, 2.287129, 1.445917];[0.000309429927, 0.108040824996, 0.082750161018, -0.716233549833, -0.237008758025, -0.756548960119, 2.489668812178, 0.004103057809, 0.000679246774, 0.000251305750]
18;1;17;2S;-526,274534168;0,5794;3;1;3;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[46.331015, 25.548587, 22.367307, 15.534609, 8.247562, 6.654266, 6.002988, 3.324836, 2.287129, 1.445917];[-0.000114409877, -0.043932827158, -0.033325235491, 0.239197819198, -0.295573887227, -0.326739760029, -0.210703961501, 0.620509959279, 0.691371533985, 0.372812292307]
18;1;17;2S;-526,274534168;0,5794;3;1;2;1;6;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[43.087509, 29.402017, 16.361110, 10.508043, 8.278760, 6.839373, 4.097471, 2.976452, 1.665758, 1.445917];[-0.000368403257, 0.003446677017, -0.000276547392, 1.035226135350, 1.194561278985, 0.319651062964, 0.138079941341, 0.000658912741, 0.005147847643, -0.000005878775]
18;1;17;2S;-526,274534168;0,5794;3;1;3;1;5;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[43.087509, 29.402017, 16.361110, 10.508043, 8.278760, 6.839373, 4.097471, 2.976452, 1.665758, 1.445917];[0.000085865010, -0.000663664976, -0.004130464768, -0.314107624217, -0.443250612223, -0.258933764906, 0.055045509009, 0.430316300614, 1.928776112085, 0.095527283674]
19;1;18;1S;-599,017579304;0,1596;3;1;1;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[48.500215, 27.237366, 23.845026, 16.459968, 8.677200, 7.307612, 6.587645, 3.570365, 2.457086, 1.530063];[0.000613768686, -0.440536717067, -0.240076187242, -0.773683713062, 0.044352424322, 0.042195748639, -0.083766556305, 0.000263326565, -0.000253144228, 0.000341108311]
19;1;18;1S;-599,017579304;0,1596;3;1;2;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[48.500215, 27.237366, 23.845026, 16.459968, 8.677200, 7.307612, 6.587645, 3.570365, 2.457086, 1.530063];[0.000300661803, 0.103825337210, 0.079042658743, -0.712599445241, -0.764941893348, -1.090405042795, 3.319183413942, 0.005468056739, 0.000120349574, 0.001067165554]
19;1;18;1S;-599,017579304;0,1596;3;1;3;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[48.500215, 27.237366, 23.845026, 16.459968, 8.677200, 7.307612, 6.587645, 3.570365, 2.457086, 1.530063];[-0.000100974848, -0.045984285351, -0.034808179832, 0.250555792582, -0.513061972608, -0.553277115153, 0.222280148037, 0.665884860006, 0.678915706613, 0.327454503564]
19;1;18;1S;-599,017579304;0,1596;3;1;2;1;6;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[45.464745, 32.055879, 17.643385, 11.285946, 8.917247, 7.386591, 4.520369, 3.218533, 1.789225, 1.530063];[-0.000395592593, 0.002911953406, 0.001318070431, 1.017907508021, 1.202660026922, 0.310683481016, 0.150599038468, 0.000698839424, 0.000917333909, -0.000133987089]
19;1;18;1S;-599,017579304;0,1596;3;1;3;1;6;[2, 2, 4, 2, 3, 4, 2, 3, 2, 3];[45.464745, 32.055879, 17.643385, 11.285946, 8.917247, 7.386591, 4.520369, 3.218533, 1.789225, 1.530063];[0.000094305355, -0.000570976059, -0.004983241933, -0.356506330583, -0.536447071833, -0.319480088580, 0.168705176749, 0.531427332503, 2.041920124277, 0.096757539279]
20;1;19;2P;-676,570012133;0,2246;4;0;1;0;2;[2, 4, 1, 2, 2, 3, 1, 3, 3, 3, 3, 3];[46.826729, 26.932592, 24.414308, 20.740056, 13.257979, 7.629463, 6.414563, 4.199025, 2.932248, 2.139810, 1.063151, 0.912488];[0.001910178259, -0.020714410312, 1.023527590537, 0.463485443387, 0.007599983684, -0.001102662315, 0.004846651300, 0.000060811183, -0.000155987756, 0.000069013622, -0.000033799704, 0.000022768838]
