Z;Q;N;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
41;-1;42;2D;-3753,57821457;0,2529;4;2;4;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[63.780867, 52.162440, 30.371699, 24.649854, 18.350796, 13.080766, 8.775199, 6.467897, 2.204689, 1.967866, 0.739804, 0.186523];[-0.004279503530, -0.009093975619, 0.196994823686, 0.209853420091, 0.434912782607, -0.495811016796, -0.711079033963, -1.259168775492, -1.921925500554, 5.019370681679, 0.011995641168, 0.000123454283]
41;-1;42;2D;-3753,57821457;0,2529;4;2;3;2;10;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[44.354547, 33.570462, 15.734639, 13.220427, 8.597817, 7.171274, 4.931586, 2.978717, 1.889005, 1.179953, 0.726010, 0.186523];[0.002493772163, 0.013315086316, 0.097029114130, 0.565554385855, 1.828433370298, 0.579173999510, 0.351682274459, 0.008066021628, 0.000391806202, 0.000092022280, 0.000050280215, -0.000001581139]
41;-1;42;2D;-3753,57821457;0,2529;4;2;4;2;4;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[44.354547, 33.570462, 15.734639, 13.220427, 8.597817, 7.171274, 4.931586, 2.978717, 1.889005, 1.179953, 0.726010, 0.186523];[-0.000424200000, -0.002309400000, -0.000609600000, -0.119460800000, -0.279016400000, -0.194632800000, 0.001869000000, 0.606199600000, 0.926214600000, 0.647169800000, 0.147529800000, 0.000482000000]
42;-1;43;3F;-3975,526266257;0,2621;4;2;1;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[72.171260, 53.282680, 43.695075, 31.308097, 19.520212, 19.511167, 11.093926, 7.889569, 7.662932, 6.021759, 2.932198, 2.127438, 0.728567, 0.379287, 0.185662];[-0.030223158041, 0.037860052700, 1.380455718954, -0.041516360444, 0.114612816842, -0.043611517836, -0.004635367793, -0.001698046224, 0.011037229748, -0.000881196471, 0.000036910974, -0.000010606602, 0.000000707107, -0.000000565685, 0.000000282843]
42;-1;43;3F;-3975,526266257;0,2621;4;2;2;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[72.171260, 53.282680, 43.695075, 31.308097, 19.520212, 19.511167, 11.093926, 7.889569, 7.662932, 6.021759, 2.932198, 2.127438, 0.728567, 0.379287, 0.185662];[0.059660861870, -0.064380658213, -0.546567378906, 0.144363203290, 0.840305758351, 0.486195733299, -0.063353797746, -0.053373834058, 0.202387112962, -0.001819102905, -0.000064912403, -0.000024890159, 0.000000565685, -0.000000282843, 0.000000141421]
42;-1;43;3F;-3975,526266257;0,2621;4;2;3;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[72.171260, 53.282680, 43.695075, 31.308097, 19.520212, 19.511167, 11.093926, 7.889569, 7.662932, 6.021759, 2.932198, 2.127438, 0.728567, 0.379287, 0.185662];[-0.025655955342, 0.028505595670, 0.231300002138, -0.047568063120, -0.447228634223, -0.548865900209, 0.415247184460, 0.445168125063, 0.640927809007, 0.243269057201, 0.006345717676, -0.000353977655, 0.000055295750, -0.000043557778, 0.000024041631]
42;-1;43;3F;-3975,526266257;0,2621;4;2;4;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[72.171260, 53.282680, 43.695075, 31.308097, 19.520212, 19.511167, 11.093926, 7.889569, 7.662932, 6.021759, 2.932198, 2.127438, 0.728567, 0.379287, 0.185662];[0.009923960831, -0.011134386219, -0.090118637942, 0.015647000275, 0.167655442083, 0.248516920889, -0.035928802659, -0.645983056807, 0.208178176078, -1.164936218852, 1.903217640965, 0.255658133693, 0.000209162186, 0.000069579307, -0.000051335952]
42;-1;43;3F;-3975,526266257;0,2621;4;2;5;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[72.171260, 53.282680, 43.695075, 31.308097, 19.520212, 19.511167, 11.093926, 7.889569, 7.662932, 6.021759, 2.932198, 2.127438, 0.728567, 0.379287, 0.185662];[-0.001686591094, 0.001945533598, 0.015412099403, -0.002052872407, -0.028045976262, -0.045031246832, -0.019350684174, 0.208592257809, -0.001803687977, 0.117847264681, -0.311937893779, -0.282868309740, 0.656559394355, 0.618441389101, 0.330330165421]
42;-1;43;3F;-3975,526266257;0,2621;4;2;2;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[65.418449, 53.871421, 32.139412, 25.948942, 19.316894, 13.511969, 9.137267, 6.780455, 2.368037, 2.109289, 0.851790, 0.185662];[-0.014226881375, -0.028935087485, 0.747053710019, 0.891400180970, 0.724091213374, 0.312461810569, 0.004288076744, -0.000013962092, 0.000094550304, -0.000219964179, 0.000000979796, -0.000000244949]
42;-1;43;3F;-3975,526266257;0,2621;4;2;3;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[65.418449, 53.871421, 32.139412, 25.948942, 19.316894, 13.511969, 9.137267, 6.780455, 2.368037, 2.109289, 0.851790, 0.185662];[-0.010529131659, -0.021298068365, 0.413548578019, 0.451699870661, 0.778798117290, -0.426239384376, -1.891024942500, -0.758977091240, 0.014952175288, -0.025404637918, -0.000041396377, 0.000009553010]
42;-1;43;3F;-3975,526266257;0,2621;4;2;4;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[65.418449, 53.871421, 32.139412, 25.948942, 19.316894, 13.511969, 9.137267, 6.780455, 2.368037, 2.109289, 0.851790, 0.185662];[-0.005079261931, -0.010281243297, 0.181492003104, 0.187943469188, 0.408137165279, -0.413163518231, -0.720413059577, -1.337922810110, -1.818285140047, 4.971737414243, 0.014414022391, 0.000222168720]
